,Unnamed: 0,word,sentiment,lexicon,score,part
586,587,daughter,positive,nrc,,NN
587,588,dawn,positive,nrc,,NN
588,589,deal,positive,nrc,,NN
589,590,dear,positive,nrc,,NN
590,591,debate,positive,nrc,,NN
591,592,decency,positive,nrc,,NN
592,593,decent,positive,nrc,,NN
593,594,declaratory,positive,nrc,,NN
594,595,dedication,positive,nrc,,NN
595,596,defend,positive,nrc,,NN
596,597,defended,positive,nrc,,VBN
597,598,defender,positive,nrc,,NN
598,599,defending,positive,nrc,,VBG
599,600,defense,positive,nrc,,NN
600,601,deference,positive,nrc,,NN
601,602,definitive,positive,nrc,,JJ
602,603,degree,positive,nrc,,NN
603,604,delectable,positive,nrc,,JJ
604,605,delegate,positive,nrc,,NN
605,606,deliberate,positive,nrc,,NN
606,607,delicious,positive,nrc,,JJ
607,608,delight,positive,nrc,,NN
608,609,delighted,positive,nrc,,JJ
609,610,delightful,positive,nrc,,NN
610,611,deliverance,positive,nrc,,NN
611,612,delivery,positive,nrc,,NN
612,613,democracy,positive,nrc,,NN
613,614,demonstrable,positive,nrc,,JJ
614,615,demonstrative,positive,nrc,,NN
615,616,dependent,positive,nrc,,NN
616,617,depth,positive,nrc,,NN
617,618,descriptive,positive,nrc,,NN
618,619,deserve,positive,nrc,,NN
619,620,deserved,positive,nrc,,VBN
620,621,designer,positive,nrc,,NN
621,622,desirable,positive,nrc,,JJ
622,623,desiring,positive,nrc,,VBG
623,624,desirous,positive,nrc,,JJ
624,625,destination,positive,nrc,,NN
625,626,detect,positive,nrc,,NN
626,627,detection,positive,nrc,,NN
627,628,determination,positive,nrc,,NN
628,629,determined,positive,nrc,,VBN
629,630,develop,positive,nrc,,VB
630,631,devotional,positive,nrc,,NN
631,632,devout,positive,nrc,,NN
632,633,dexterity,positive,nrc,,NN
633,634,diamond,positive,nrc,,NN
634,635,diary,positive,nrc,,JJ
635,636,dictionary,positive,nrc,,JJ
636,637,didactic,positive,nrc,,JJ
637,638,dietary,positive,nrc,,JJ
638,639,dignified,positive,nrc,,VBN
639,640,dignity,positive,nrc,,NN
640,641,diligence,positive,nrc,,NN
641,642,dinner,positive,nrc,,NN
642,643,diplomacy,positive,nrc,,NN
643,644,diplomatic,positive,nrc,,JJ
644,645,director,positive,nrc,,NN
645,646,discovery,positive,nrc,,NN
646,647,discreet,positive,nrc,,NN
647,648,discretion,positive,nrc,,NN
648,649,discretionary,positive,nrc,,JJ
649,650,discussion,positive,nrc,,NN
650,651,disinfection,positive,nrc,,NN
651,652,disposed,positive,nrc,,VBN
652,653,disseminate,positive,nrc,,NN
653,654,distillation,positive,nrc,,NN
654,655,distinction,positive,nrc,,NN
655,656,ditty,positive,nrc,,NN
656,657,diverse,positive,nrc,,NN
657,658,diversified,positive,nrc,,JJ
658,659,diversion,positive,nrc,,NN
659,660,divinity,positive,nrc,,NN
660,661,doctor,positive,nrc,,NN
661,662,doer,positive,nrc,,NN
662,663,dogged,positive,nrc,,VBN
663,664,dolphin,positive,nrc,,NN
664,665,dominate,positive,nrc,,NN
665,666,don,positive,nrc,,NN
666,667,donation,positive,nrc,,NN
667,668,doubtless,positive,nrc,,NN
668,669,dove,positive,nrc,,NN
669,670,downy,positive,nrc,,NN
670,671,duet,positive,nrc,,NN
671,672,duke,positive,nrc,,NN
672,673,durability,positive,nrc,,NN
673,674,durable,positive,nrc,,JJ
674,675,dutiful,positive,nrc,,NN
675,676,eager,positive,nrc,,NN
676,677,eagerness,positive,nrc,,NN
677,678,earl,positive,nrc,,NN
678,679,earn,positive,nrc,,NN
679,680,earnest,positive,nrc,,NN
680,681,earnestly,positive,nrc,,RB
681,682,earnestness,positive,nrc,,NN
682,683,ease,positive,nrc,,NN
683,684,easement,positive,nrc,,NN
684,685,easygoing,positive,nrc,,VBG
685,686,eat,positive,nrc,,NN
